location,size,total_sqft,price,category,bhk,price_per_sqft
Himagiri Meadows,2 BHK,869,3600000,Rural,2,4142.69275
Adarsh Nagar,2 BHK,1270,5000000,Urban,2,3937.007874
Bhoganhalli,3 BHK,1670,9900000,Urban,3,5928.143713
Whitefield,3 BHK,2010,9100000,Rural,3,4527.363184
Lakshminarayana Pura,2 BHK,1185,7500000,Rural,2,6329.113924
Yelahanka,3 BHK,1600,7500000,Rural,3,4687.5
Begur Road,2 BHK,1200,4400000,Urban,2,3666.666667
Basavanapura,3 BHK,1612,4674000,Rural,3,2899.503722
Ramakrishnappa Layout,2 BHK,1500,18500000,Urban,2,12333.33333
Murugeshpalya,6 Bedroom,1407,15000000,Rural,6,10660.98081
Govindaraja Nagar Ward,2 BHK,840,4500000,Urban,2,5357.142857
Tharabanahalli,3 Bedroom,4395,24000000,Urban,3,5460.750853
Ganga Nagar,2 BHK,845,5500000,Urban,2,6508.87574
Whitefield,4 Bedroom,5700,65000000,Rural,4,11403.50877
Varthur,2 BHK,1160,4400000,Rural,2,3793.103448
Bommanahalli,8 Bedroom,3000,14000000,Urban,8,4666.666667
Doddathoguru,2 BHK,1100,6200000,Rural,2,5636.363636
Gunjur,2 BHK,1140,4300000,Rural,2,3771.929825
Marathahalli,2 BHK,1220,5700000,Urban,2,4672.131148
Devarachikkanahalli,8 Bedroom,1350,8500000,Urban,8,6296.296296
Kanakpura Road,2 BHK,1005,3668000,Urban,2,3649.751244
Double Road,3 Bedroom,500,10000000,Urban,3,20000
Begur Road,2 BHK,1358,8058000,Urban,2,5933.726068
Hegde Nagar,3 BHK,1569,10100000,Urban,3,6437.22116
Haralur Road,2 BHK,1240,7000000,Urban,2,5645.16129
Hennur Road,3 BHK,2089,14000000,Urban,3,6701.771182
Kothannur,2 BHK,1206,4823000,Rural,2,3999.170813
Kalena Agrahara,2 BHK,1150,4000000,Rural,2,3478.26087
Cholanayakanahalli,3 BHK,2511,20500000,Urban,3,8164.078057
Kaval Byrasandra,2 BHK,460,2200000,Rural,2,4782.608696
ISRO Layout,6 Bedroom,4400,25000000,Urban,6,5681.818182
Kodanda Reddy Layout,3 BHK,1660,10500000,Urban,3,6325.301205
Hennur Road,4 Bedroom,3203.5,22450000,Urban,4,7007.960044
Yelahanka,2 BHK,1326,7800000,Rural,2,5882.352941
Garudachar Palya,3 BHK,1325,6080000,Rural,3,4588.679245
EPIP Zone,3 BHK,1499,10200000,Urban,3,6804.536358
Hegde Nagar,6 Bedroom,3000,21000000,Urban,6,7000
Kanakpura Road,3 BHK,1665,8800000,Urban,3,5285.285285
Dasanapura,2 BHK,708,3700000,Rural,2,5225.988701
Kasavanhalli,2 BHK,1060,5806000,Urban,2,5477.358491
Rajaji Nagar,6 Bedroom,710,16000000,Urban,6,22535.21127
Sanjay nagar,2 BHK,1000,7000000,Urban,2,7000
Electronic City,2 BHK,1000,2888000,Urban,2,2888
Mysore Highway,3 BHK,1450,7000000,Rural,3,4827.586207
ISRO Layout,4 Bedroom,1200,15500000,Urban,4,12916.66667
Thanisandra,2 BHK,1296,8000000,Rural,2,6172.839506
Domlur,3 BHK,1540,9000000,Rural,3,5844.155844
Kengeri,4 Bedroom,2894,24500000,Rural,4,8465.791292
Sarjapura - Attibele Road,3 BHK,1330,4800000,Urban,3,3609.022556
Devasthanagalu,2 BHK,1200,6500000,Rural,2,5416.666667
T Dasarahalli,3 Bedroom,1200,9000000,Urban,3,7500
Yeshwanthpur,3 BHK,2502,13800000,Urban,3,5515.58753
Chandapura,2 BHK,650,1700000,Rural,2,2615.384615
Kothanur,3 Bedroom,2400,15000000,Rural,3,6250
Green View Layout,2 BHK,1007,4300000,Urban,2,4270.109235
Shantiniketan Layout,2 BHK,1200,5000000,Urban,2,4166.666667
Peenya,2 BHK,966,4990000,Rural,2,5165.63147
Nagarbhavi,3 BHK,1630,9800000,Urban,3,6012.269939
Rajaji Nagar,3 BHK,1640,22900000,Urban,3,13963.41463
Jalahalli West,2 BHK,782,5568000,Urban,2,7120.204604
Devanahalli,2 BHK,1260,6678000,Urban,2,5300
Lakshmiamma Garden,3 BHK,1800,12000000,Rural,3,6666.666667
Byatarayanapura,3 BHK,1413,7500000,Rural,3,5307.855626
Whitefield,2 BHK,1116,5191000,Rural,2,4651.433692
Electronic City,3 BHK,1530,4590000,Urban,3,3000
Ramamurthy Nagar,4 Bedroom,3700,22500000,Urban,4,6081.081081
Sarjapur Road,3 Bedroom,2497,14000000,Urban,3,5606.728074
Kengeri,3 BHK,1540,6400000,Rural,3,4155.844156
Thanisandra,3 BHK,1436,7475000,Rural,3,5205.431755
Malleshwaram,2 BHK,1100,7500000,Urban,2,6818.181818
Double Road,3 Bedroom,500,10000000,Rural,3,20000
Begur Road,2 BHK,1358,8058000,Urban,2,5933.726068
Hegde Nagar,3 BHK,1569,10100000,Rural,3,6437.22116
Haralur Road,2 BHK,1240,7000000,Urban,2,5645.16129
Hennur Road,3 BHK,2089,14000000,Urban,3,6701.771182
Kothannur,2 BHK,1206,4823000,Rural,2,3999.170813
Kalena Agrahara,2 BHK,1150,4000000,Rural,2,3478.26087
Cholanayakanahalli,3 BHK,2511,20500000,Rural,3,8164.078057
Kaval Byrasandra,2 BHK,460,2200000,Rural,2,4782.608696
ISRO Layout,6 Bedroom,4400,25000000,Rural,6,5681.818182
Kodanda Reddy Layout,3 BHK,1660,10500000,Rural,3,6325.301205
Hennur Road,4 Bedroom,3203.5,22450000,Urban,4,7007.960044
Yelahanka,2 BHK,1326,7800000,Urban,2,5882.352941
Garudachar Palya,3 BHK,1325,6080000,Rural,3,4588.679245
EPIP Zone,3 BHK,1499,10200000,Rural,3,6804.536358
Hegde Nagar,6 Bedroom,3000,21000000,Rural,6,7000
Kanakpura Road,3 BHK,1665,8800000,Urban,3,5285.285285
Dasanapura,2 BHK,708,3700000,Rural,2,5225.988701
Kasavanhalli,2 BHK,1060,5806000,Rural,2,5477.358491
Rajaji Nagar,6 Bedroom,710,16000000,Urban,6,22535.21127
Sanjay nagar,2 BHK,1000,7000000,Rural,2,7000
Electronic City,2 BHK,1000,2888000,Urban,2,2888
 Mysore Highway,3 BHK,1450,7000000,Rural,3,4827.586207
ISRO Layout,4 Bedroom,1200,15500000,Rural,4,12916.66667
Thanisandra,2 BHK,1296,8000000,Rural,2,6172.839506
Domlur,3 BHK,1540,9000000,Urban,3,5844.155844
Kengeri,4 Bedroom,2894,24500000,Urban,4,8465.791292
Sarjapura - Attibele Road,3 BHK,1330,4800000,Urban,3,3609.022556
Devasthanagalu,2 BHK,1200,6500000,Rural,2,5416.666667
T Dasarahalli,3 Bedroom,1200,9000000,Rural,3,7500
Yeshwanthpur,3 BHK,2502,13800000,Rural,3,5515.58753
Chandapura,2 BHK,650,1700000,Rural,2,2615.384615
Kothanur,3 Bedroom,2400,15000000,Rural,3,6250
Green View Layout,2 BHK,1007,4300000,Rural,2,4270.109235
Shantiniketan Layout,2 BHK,1200,5000000,Rural,2,4166.666667
Peenya,2 BHK,966,4990000,Urban,2,5165.63147
Nagarbhavi,3 BHK,1630,9800000,Rural,3,6012.269939
Rajaji Nagar,3 BHK,1640,22900000,Urban,3,13963.41463
Jalahalli West,2 BHK,782,5568000,Rural,2,7120.204604
Devanahalli,2 BHK,1260,6678000,Rural,2,5300
Lakshmiamma Garden,3 BHK,1800,12000000,Rural,3,6666.666667
Byatarayanapura,3 BHK,1413,7500000,Rural,3,5307.855626
Whitefield,2 BHK,1116,5191000,Urban,2,4651.433692
Electronic City,3 BHK,1530,4590000,Urban,3,3000
Ramamurthy Nagar,4 Bedroom,3700,22500000,Rural,4,6081.081081
Sarjapur  Road,3 Bedroom,2497,14000000,Urban,3,5606.728074
Kengeri,3 BHK,1540,6400000,Urban,3,4155.844156
Thanisandra,3 BHK,1436,7475000,Rural,3,5205.431755
Malleshwaram,2 BHK,1100,7500000,Urban,2,6818.181818
Hennur Road,2 Bedroom,276,2300000,Urban,2,8333.333333
Thanisandra,3 BHK,1427,12000000,Rural,3,8409.250175
Akshaya Nagar,3 BHK,2061,20000000,Rural,3,9704.027171
Hebbal,4 BHK,5611.5,47700000,Urban,4,8500.400962
Shampura,4 BHK,2650,15000000,Rural,4,5660.377358
Devanahalli,3 BHK,1282,6852000,Rural,3,5344.773791
Kadugodi,2 BHK,1050,3400000,Rural,2,3238.095238
LB Shastri Nagar,3 BHK,1600,6500000,Rural,3,4062.5
Vajarahalli,2 BHK,945,5400000,Urban,2,5714.285714
Hormavu,2 BHK,1500,7800000,Rural,2,5200
Vishwapriya Layout,7 Bedroom,950,11500000,Rural,7,12105.26316
Peenya,3 BHK,1870,11000000,Urban,3,5882.352941
Sarjapur,3 Bedroom,1600,7500000,Urban,3,4687.5
Electronic City,2 BHK,880,1650000,Urban,2,1875
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,21000000,Rural,4,17500
Kudlu Gate,3 BHK,1535,8300000,Rural,3,5407.166124
Kanakpura Road,2 BHK,950,5700000,Urban,2,6000
Devanahalli,2 BHK,1360,6500000,Rural,2,4779.411765
Kengeri Satellite Town,2 BHK,890,3500000,Urban,2,3932.58427
Bommasandra Industrial Area,3 BHK,1280,5040000,Urban,3,3937.5
Chandra Layout,3 BHK,1260,8505000,Rural,3,6750
Hennur Road,8 Bedroom,5000,25000000,Urban,8,5000
Yelahanka,5 BHK,3050,21300000,Urban,5,6983.606557
Kasavanhalli,3 BHK,1563.05,10500000,Rural,3,6717.635392
ISRO Layout,2 BHK,1000,6000000,Rural,2,6000
Anandapura,2 BHK,1167,4376000,Rural,2,3749.785775
Vishveshwarya Layout,7 BHK,4000,22500000,Rural,7,5625
Kothanur,3 BHK,1828,11000000,Rural,3,6017.50547
Kengeri Satellite Town,2 BHK,890,3500000,Urban,2,3932.58427
Basavanapura,3 BHK,1612,4674000,Urban,3,2899.503722
Dinnur,6 Bedroom,1034,18500000,Rural,6,17891.68279
Mysore Road,3 BHK,1710,9131000,Rural,3,5339.766082
Kannamangala,2 BHK,957,5800000,Rural,2,6060.606061
 Devarachikkanahalli,3 BHK,1250,4400000,Rural,3,3520
Sanjeevini Nagar,3 BHK,2795,23500000,Rural,3,8407.871199
Hulimavu,2 BHK,1125,5000000,Rural,2,4444.444444
Electronic City Phase II,2 BHK,1020,3060000,Urban,2,3000
Kalena Agrahara,2 BHK,1200,5000000,Rural,2,4166.666667
Thanisandra,3 BHK,1735,13500000,Rural,3,7780.979827
Thanisandra,3 BHK,2050,14500000,Rural,3,7073.170732
Mahalakshmi Layout,4 Bedroom,3750,76000000,Rural,4,20266.66667
Yarandahalli,3 BHK,1350,4800000,Rural,3,3555.555556
Hosa Road,2 BHK,1063,3200000,Rural,2,3010.348071
Keshava Nagar,3 BHK,1904,15000000,Rural,3,7878.151261
Whitefield,4 Bedroom,4200,42000000,Urban,4,10000
RMV Extension,3 BHK,2000,17500000,Rural,3,8750
Sarjapur,2 BHK,1242.5,4349000,Urban,2,3500.201207
Tejaswini Nagar,3 BHK,1425,7500000,Rural,3,5263.157895
Electronic City,3 BHK,1500,6450000,Urban,3,4300
Electronic City,2 BHK,1060,6000000,Urban,2,5660.377358
Jai Bheema Nagar,3 BHK,1470,7000000,Rural,3,4761.904762
Kothnur Narayanapura,6 BHK,1300,9900000,Rural,6,7615.384615
Attibele,1 BHK,450,1100000,Urban,1,2444.444444
Electronic City,2 BHK,1152,6450000,Urban,2,5598.958333
Electronic City,3 BHK,1350,5600000,Urban,3,4148.148148
CV Raman Nagar,3 BHK,1550,6500000,Urban,3,4193.548387
CHIKKATIRUPATHI,3 Bedroom,1500,10000000,Rural,3,6666.666667
Kumaraswami Layout,5 Bedroom,600,8500000,Rural,5,14166.66667
Nagavara,1 Bedroom,400,1400000,Urban,1,3500
Malleshwaram,1 BHK,705,6700000,Urban,1,9503.546099
Electronic City,2 BHK,770,3600000,Urban,2,4675.324675
Hulimavu,2 BHK,1242,5100000,Rural,2,4106.280193
Hebbal Kempapura,3 BHK,1700,15500000,Urban,3,9117.647059
Thanisandra,3 BHK,2144,14500000,Rural,3,6763.059701
Vijayanagar,3 BHK,1704,11000000,Urban,3,6455.399061
Electronic City,2 BHK,1070,5200000,Urban,2,4859.813084
8th block Koramangala,3 Bedroom,1846,30000000,Urban,3,16251.35428
Jakkuru Layout,2 BHK,1340,5570000,Rural,2,4156.716418
Electronic City,2 BHK,1025,4600000,Urban,2,4487.804878
KR Puram,2 BHK,1277.5,5680000,Urban,2,4446.183953
Marathahalli,2 BHK,1200,5200000,Urban,2,4333.333333
Kanakpura Road,4 Bedroom,2250,11000000,Urban,4,4888.888889
Pattandur Agrahara,3 BHK,1550,8000000,Rural,3,5161.290323
Bellandur,4 Bedroom,1200,32500000,Urban,4,27083.33333
Ejipura,7 Bedroom,1800,25000000,Rural,7,13888.88889
Marathahalli,2 BHK,1200,6000000,Urban,2,5000
Yelahanka,2 BHK,1327,9800000,Urban,2,7385.079126
Kothanur,2 BHK,1186,5800000,Rural,2,4890.387858
MS Pallya,3 Bedroom,1783,11500000,Rural,3,6449.803702
HSR Layout,3 BHK,1400,5600000,Urban,3,4000
Nagasandra,2 BHK,980,4800000,Urban,2,4897.959184
EPIP Zone,2 BHK,1285,8200000,Rural,2,6381.322957
Langford Town,3 BHK,912,7000000,Rural,3,7675.438596
Whitefield,2 BHK,1225,4760000,Urban,2,3885.714286
Whitefield,2 BHK,1075,5300000,Urban,2,4930.232558
Kadugodi,3 BHK,1260,5400000,Rural,3,4285.714286
Yelahanka,3 BHK,1282,4870000,Urban,3,3798.75195
Kogilu,3 BHK,1909,8800000,Rural,3,4609.743321
Panathur,2 BHK,1359,8700000,Rural,2,6401.766004
Nagondanahalli,2 BHK,1207,4350000,Rural,2,3603.976802
Padmanabhanagar,4 Bedroom,1736,19000000,Urban,4,10944.70046
1st Block Jayanagar,4 BHK,2850,42800000,Urban,4,15017.54386
Kammasandra,3 BHK,1595,6500000,Rural,3,4075.23511
"Off Sarjapur Road, ",3 BHK,1798,8900000,Urban,3,4949.944383
Electronics City Phase 1,3 BHK,1475,7829000,Rural,3,5307.79661
Tala Cauvery Layout,3 BHK,1580,10000000,Rural,3,6329.113924
Dasarahalli,2 BHK,1295,6500000,Rural,2,5019.305019
Magadi Road,6 Bedroom,3600,14100000,Rural,6,3916.666667
Electronic City,1 BHK,589,2700000,Urban,1,4584.040747
Ngef Layout,3 BHK,1415,7800000,Rural,3,5512.367491
Sarjapur  Road,3 BHK,1787,9829000,Urban,3,5500.279799
Sarjapur  Road,3 BHK,1787,12500000,Urban,3,6994.963626
Koramangala,3 BHK,1475,9000000,Urban,3,6101.694915
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,7550000,Urban,4,3775
Sarjapur  Road,2 BHK,984,4428000,Urban,2,4500
Devanahalli,3 BHK,1630,7482000,Rural,3,4590.184049
Muthurayya Swamy Layout,3 BHK,2405,26000000,Rural,3,10810.81081
7th Phase JP Nagar,2 BHK,1080,7200000,Urban,2,6666.666667
Shantiniketan Layout,2 Bedroom,1500,11500000,Rural,2,7666.666667
Hebbal,3 BHK,1900,11900000,Urban,3,6263.157895
Dommasandra,2 BHK,805,2214000,Urban,2,2750.310559
Budigere,2 BHK,1153,5640000,Rural,2,4891.587164
Dodda Nekkundi Extension,2 BHK,1148,6000000,Rural,2,5226.480836
Mylasandra,2 BHK,1110,5500000,Rural,2,4954.954955
Electronic City,2 BHK,1100,4200000,Urban,2,3818.181818
Kalyan nagar,2 BHK,1290,11000000,Rural,2,8527.131783
Dr Shivarama Karantha Nagar,3 BHK,1500,6500000,Rural,3,4333.333333
Bank Of Baroda Colony,2 BHK,1080,3900000,Rural,2,3611.111111
Vijayanagar,3 BHK,1933,12900000,Urban,3,6673.564408
Ramamurthy Nagar,5 Bedroom,3500,15000000,Urban,5,4285.714286
Kullappa Colony,2 BHK,1060,6000000,Rural,2,5660.377358
Chandapura,1 BHK,645,1645000,Rural,1,2550.387597
Mukkutam Nagar,8 Bedroom,2600,18000000,Rural,8,6923.076923
Chandapura,1 BHK,645,1645000,Rural,1,2550.387597
Ashwath Nagar,3 BHK,1644,8400000,Rural,3,5109.489051
Ncpr Industrial Layout,2 BHK,1285,7250000,Rural,2,5642.023346
Electronic City,3 Bedroom,1200,9000000,Urban,3,7500
Electronic City,2 BHK,910,4000000,Urban,2,4395.604396
Kothanur,3 BHK,1577,7000000,Rural,3,4438.807863
Meenakunte,3 Bedroom,4050,28000000,Rural,3,6913.580247
OMBR Layout,3 BHK,2420,18500000,Rural,3,7644.628099
Chandapura,2 BHK,800,2000000,Rural,2,2500
Anand Nagar,2 BHK,1060,5500000,Rural,2,5188.679245
7th Phase JP Nagar,2 BHK,1270,9300000,Urban,2,7322.834646
Shree Ananth Nagar Layout,2 BHK,900,2250000,Rural,2,2500
Kundalahalli Colony,2 Bedroom,1280,6900000,Rural,2,5390.625
Horamavu Agara,4 Bedroom,1200,9500000,Rural,4,7916.666667
Sarjapur  Road,2 BHK,1025,3600000,Urban,2,3512.195122
Electronic City,2 BHK,1108,6300000,Urban,2,5685.920578
MCECHS  layout,5 Bedroom,1200,17000000,Rural,5,14166.66667
Coffee Board Layout,3 BHK,3045,17000000,Rural,3,5582.922824
Ambedkar Nagar,4 Bedroom,2900,30000000,Rural,4,10344.82759
